absense|absence
adress|address
advise|advice
alot|a lot
aquit|acquit
arguement|argument
artic|arctic
begining|beginning
beleive|believe
broccolli|broccoli
borough|bureau
calender|calendar
comraderie|camaraderie
cieling|ceiling
cemetary|cemetery
changable|changeable
collegue|colleague
consciencious|conscientious
concious|conscious
daquiri|daiquiri
decieve|deceive
definately|definitely
desparate|desperate
disasterous|disastrous
dumbell|dumbbell
embarass|embarrass
enviroment|environment
existance|existence
experiance|experience
facinating|fascinating
Febuary|February
firey|fiery
flourescent|fluorescent
foriegn|foreign
goverment|government
gratefull|greatful
harrass|harass
hieght|height
hipocrite|hypocrite
humerous|humorous
innoculate|inoculate
independant|independent
jewelry|jewelery
judgement|judgment
kernal|kernel
liesure|leisure
liason|liaison
libary|library
lisense|license
maintainance|maintenance
medevil|mideval
millenium|millennium
miniture|miniature
miniscule|minuscule
mischievious|mischievous
mispell|misspell
momento|moment
misterious|mysterious
neccessary|necessary
nieghbor|neighbor
noticable|noticeable
occassion|occasion
occurence|occurrence
oddyssey|odyssey
peice|piece
playwrite|playwright
preceed|precede
presance|presence
privelege|privilege
prophecy|prophesy
pumkin|pumpkin
rasberry|raspberry
recieve|receive
rtyhm|rhythm
sacriligious|sacrilegious
sience|science
sissors|scissors
seperate|separate
sinserely|sincerely
supercede|supersede
thorough|through
truely|truly
untill|until
Wensday|Wednesday
wether|whether
wich|which
wierd|weird
